area_nr,fama,bt,altit,exp,north,east,sl_deg,pH_H2O,total_cov,tree_height,tree_cov,tree_rich,shrub_height,shrub_cov,shrub_rich,herb_height,herb_cov,herb_rich
A01,A,both,1793.00,170.00,-0.98,0.17,0.00,5.59,95,18,0.5,2,4,55,13,NA,NA,NA
A02,A,both,1795.00,170.00,-0.98,0.17,0.00,5.51,92,14,40,3,2.3,5,7,NA,NA,NA
A03,A,both,1803.00,270.00,0.00,-1.00,2.00,5.33,90,0,0,0,3,3,5,NA,NA,NA
A04,A,both,1804.00,270.00,0.00,-1.00,0.00,6.37,55,22,6,3,0.8,0.5,1,NA,NA,NA
A05,A,both,1798.00,170.00,-0.98,0.17,1.00,5.57,70,20,4,1,3.5,5,5,NA,NA,NA
A06,A,both,1799.00,170.00,-0.98,0.17,0.00,5.23,95,11,3,2,3,9,9,NA,NA,NA
A07,A,both,1806.00,270.00,0.00,-1.00,8.00,5.76,75,20,20,4,3.5,24,15,NA,NA,NA
A08,A,both,1806.00,270.00,0.00,-1.00,8.00,5.97,30,25,10,4,2.6,18,14,NA,NA,NA
B02,B,both,1802.00,190.00,-0.98,-0.17,0.00,5.54,85,9,4,4,4.5,5,10,NA,NA,NA
B03,B,both,1802.00,190.00,-0.98,-0.17,0.00,5.62,60,12,5,3,4.5,22,9,NA,NA,NA
B04,B,both,1812.00,205.00,-0.91,-0.42,5.00,5.43,40,4.2,5,3,1.8,4,5,NA,NA,NA
B05,B,both,1813.00,230.00,-0.64,-0.77,5.00,5.29,65,22,3,3,2.5,5,6,NA,NA,NA
B06,B,both,1783.00,150.00,-0.87,0.50,1.00,5.14,80,12,3,3,2,5,10,NA,NA,NA
B07,B,both,1783.00,150.00,-0.87,0.50,3.00,5.62,25,12,10,4,2.3,8,8,NA,NA,NA
B08,B,both,1776.00,200.00,-0.94,-0.34,0.00,5.45,20,10,12,6,1.5,7,9,NA,NA,NA
B09,B,both,1776.00,190.00,-0.98,-0.17,0.00,5.18,40,8,10,4,1.6,13,10,NA,NA,NA
C01,C,both,1819.00,225.00,-0.71,-0.71,0.00,4.76,90,12,5,2,6,5,3,NA,NA,NA
C02,C,both,1819.00,215.00,-0.82,-0.57,0.00,4.82,55,21,8,2,3,4.5,5,NA,NA,NA
C03,C,both,1817.00,215.00,-0.82,-0.57,0.00,4.90,60,0,0,0,0,0,0,NA,NA,NA
C04,C,both,1816.00,230.00,-0.64,-0.77,0.00,5.52,60,0,0,0,2.6,0.5,1,NA,NA,NA
C05,C,both,1802.00,250.00,-0.34,-0.94,10.00,5.12,60,10,3,1,0,0,0,NA,NA,NA
C07,C,both,1802.00,250.00,-0.34,-0.94,10.00,5.29,70,7,5,1,2,5,3,NA,NA,NA
C08,C,both,1799.00,285.00,0.26,-0.97,5.00,5.32,80,22,2,2,5,9,9,NA,NA,NA
C09,C,both,1797.00,285.00,0.26,-0.97,7.00,5.88,35,21,10,3,6,15,8,NA,NA,NA
A01,A,field,1718.00,200.00,-0.94,-0.34,10.00,4.89,100,0,0,0,2.6,8,2,2.2,95,27
A01,A,field,1716.00,210.00,-0.87,-0.50,10.00,5.24,100,0,0,0,2.5,1,1,5,100,21
A02,A,field,1754.00,130.00,-0.64,0.77,5.00,5.57,99,12,80,1,1.5,0.5,1,0.9,60,14
A02,A,field,1756.00,175.00,-1.00,0.09,5.00,4.75,90,14,30,1,0,0,0,1.1,90,6
A03,A,field,1724.00,185.00,-1.00,-0.09,0.00,5.28,65,0,0,0,3,4,1,2.7,65,11
A03,A,field,1723.00,210.00,-0.87,-0.50,3.00,5.10,50,0,0,0,0,0,0,2.5,50,14
A04,A,field,1722.00,200.00,-0.94,-0.34,0.00,4.94,60,0,0,0,0,0,0,1.6,60,10
A04,A,field,1722.00,200.00,-0.94,-0.34,0.00,5.24,70,0,0,0,0,0,0,1.6,70,9
A05,A,field,1716.00,250.00,-0.34,-0.94,0.00,5.18,70,0,0,0,3.5,65,2,0.7,15,9
A05,A,field,1718.00,260.00,-0.17,-0.98,0.00,4.32,40,0,0,0,1.5,30,1,0.2,20,8
A06,A,field,1714.00,225.00,-0.71,-0.71,0.00,5.73,95,0,0,0,0,0,0,0.65,95,13
A06,A,field,1714.00,225.00,-0.71,-0.71,0.00,5.50,95,0,0,0,0,0,0,0.65,95,13
A07,A,field,1643.00,195.00,-0.97,-0.26,2.00,5.20,80,8,5,2,2.5,3,1,0.9,77,8
A07,A,field,1644.00,205.00,-0.91,-0.42,2.00,4.97,70,20,20,2,2.1,3,1,3.1,65,11
A08,A,field,1652.00,235.00,-0.57,-0.82,0.00,4.74,30,0,0,0,2.2,25,2,0.6,14,8
